InputID,TargetID,Distance
"99999999","28534056",4569.83195722948
"99999999","28136474",1993.01591073835
"99999999","28832029",1853.07180119712
"99999999","28635481",6984.22090056043
"99999999","27872291",13742.7665919522
"99999999","24668493",7767.42811197604
"99999999","27098264",13782.4261199234
"99999999","28488016",11335.4490115616
"99999999","28762803",7204.33786021887
"99999999","28148926",10676.7806087592
"99999999","28661123",14259.718909466
"99999999","28593742",10622.6185532022
"99999999","28686940",3508.76837502087
"99999999","28686943",3508.76837502087
"99999999","26997184",3601.91552481155
"99999999","27923502",3601.91552481155
"99999999","28723950",10629.9171200339
"99999999","28659297",10373.6425832684
"99999999","28660151",399.934292484585
"99999999","28660725",399.934292484585
"99999999","28528902",1035.74417502465
"99999999","28796290",12688.3156467472
"99999999","27910829",6096.86159769911
"99999999","27912757",6096.86159769911
"99999999","28661933",2277.71593033492
"99999999","28081657",6810.5228067342
"99999999","28661334",11251.5431239748
"99999999","28669216",1809.20051954722
"99999999","28588547",6123.76836081628
"99999999","28662410",14259.718909466
"99999999","28019601",14609.3296935765
"99999999","28583528",6496.02378667951
"99999999","28762827",10417.9203118397
"99999999","27586526",12095.328807472
"99999999","23701112",9812.12408539643
"99999999","23965760",9812.12408539643
"99999999","27926439",7206.23079523753
"99999999","28567032",9287.86849516295
"99999999","28651106",11124.7156188259
"99999999","28651107",8410.92383899343
"99999999","21872833",13856.8689999805
"99999999","28545932",6436.68794734344
"99999999","28662434",16660.975451539
"99999999","28566972",9510.38821787707
"99999999","27905272",12834.2219270075
"99999999","25032574",6638.79319878125
"99999999","26093789",6533.77537532151
"99999999","28062807",5729.69116936026
"99999999","28232776",2453.98220180417
"99999999","28610397",6590.18459718714
"99999999","28684820",7270.38061481562
"99999999","16052498",3462.16653860629
"99999999","27923503",4442.71241141395
"99999999","28830906",14278.3087472618
"99999999","28720572",9497.74353642125
"99999999","28667132",9561.20481507017
"99999999","28662125",2072.84548990718
"99999999","28723693",1585.69353179175
"99999999","28661744",2185.81965472352
"99999999","28661744",2185.81965472352
"99999999","28661763",2185.81965472352
"99999999","28661763",2185.81965472352
"99999999","28534758",7606.16510773109
"99999999","26974570",6747.12225990783
"99999999","28772737",5663.64380563423
"99999999","27804669",11204.0026723063
"99999999","28660612",14919.4398535295
"99999999","28799275",4967.19590521133
"99999999","28661094",9063.68524834647
"99999999","28661483",11204.0026723063
"99999999","28251712",17931.1168178715
"99999999","28756873",6596.17183127617
"99999999","27285281",16624.494631212
"99999999","26639651",9133.17132660595
"99999999","28723724",16413.1573300461
"99999999","28660477",12834.2219270075
"99999999","28625397",9384.86269178518
"99999999","28712309",14639.354249403
"99999999","28666085",7945.93646812476
"99999999","28101857",16039.8480501745
"99999999","28662419",11251.5431239748
"99999999","28660275",12647.0056965362
"99999999","28715860",7190.91400973941
"99999999","28662761",11251.5431239748
"99999999","28846897",3063.1034536268
"99999999","28546746",13846.9951104869
"99999999","28831015",11609.6215417209
"99999999","28661936",14872.5131214294
"99999999","28659940",19425.9188540734
"99999999","28778690",6107.84487560217
"99999999","28625645",8254.72729926855
"99999999","28631858",7094.7487692357
"99999999","28722938",8428.75458834635
"99999999","28662554",13599.0575948344
"99999999","27427313",13656.7620109311
"99999999","28067053",5281.16032937839
"99999999","28607123",5123.57607111131
"99999999","28762826",6035.72516203773
"99999999","28649505",1269.45681891749
"99999999","28725763",15067.1105967822
"99999999","28664272",3597.74967684056
"99999999","28785559",3597.74967684056
"99999999","28833526",3516.9054281554
"99999999","28762834",15429.3898376431
"99999999","28087157",2573.35974059738
"99999999","28425344",1100.05919991824
"99999999","28688798",3757.54621205373
"99999999","28722578",1779.75067077196
"99999999","28690951",3150.55528518779
"99999999","28774805",978.965721722304
"99999999","28641555",5344.46629604297
"99999999","28517312",1187.92457616466
"99999999","28721560",4618.78283058065
"99999999","27434451",4069.99293895575
"99999999","28543680",2446.06306456423
"99999999","28823831",2584.97184145995
"99999999","28531160",3617.61446382157
"99999999","28332207",6010.88709167129
"99999999","28781854",7328.97037443423
"99999999","28772234",5824.27548745759
"99999999","27398915",4971.27392854824
"99999999","28543049",10775.1782465342
"99999999","28546783",7713.16917573901
"99999999","28811574",7711.13687085823
"99999999","28566971",12006.2076671336
"99999999","28822249",11722.4752754654
"99999999","28822249",11722.4752754654
"99999999","27970188",7277.4829413763
"99999999","28660389",6007.42775778649
"99999999","27780598",8094.38064582544
"99999999","28215693",5563.0292417456
"99999999","28587402",6713.97211172031
"99999999","28661559",10373.6425832684
"99999999","28072809",15429.3898376431
"99999999","28662029",2072.84548990718
"99999999","28753331",973.877630302075
"99999999","28426198",2446.89405758097
"99999999","28646180",7949.64307937345
"99999999","28243385",13649.5446381984
"99999999","28662122",10144.6256060073
"99999999","28603430",7110.94829456196
"99999999","28662411",9063.05253295501
"99999999","25811264",1418.32525851854
"99999999","28839172",2585.75527300041
"99999999","28661993",4515.84619245409
"99999999","28794375",5150.08005978762
"99999999","28769251",15619.1709856524
"99999999","28769251",15619.1709856524
"99999999","28725226",5410.96852425103
"99999999","28720529",2502.95985477311
"99999999","25285547",16284.1613889272
"99999999","28289381",6350.4877207044
"99999999","26608630",7650.84994669198
"99999999","28797116",5862.77623592914
"99999999","28567859",4337.52664733363
"99999999","28263787",9387.56688503695
"99999999","28659890",2072.84548990718
"99999999","28759411",5281.16032937839
"99999999","28340757",11990.7633257797
"99999999","24668140",9547.60085618301
