"Modelo","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"Modelo lineal Log",0.74925026093515,0.704672529545843,0.440053575290523,16.8077252382314,1.0400447953276e-29,24,-82.1008347757867,216.201669551573,296.156188747653,26.1423651320063,135,160
"Modelo lineal $",0.753272040170892,0.709409291756829,5980855.49713814,17.1733889782742,3.69925833542592e-30,24,-2710.09011043581,5472.18022087162,5552.1347400677,4829035384482417,135,160
