"ID","calle_colonia","delegacion","cp","tipo","precio","moneda","lat","lon","AREA_CONSTRUIDA","RECAMARAS","BANOS","No_de_pisos","Edad_inmueble","Jardin","Cisterna","Seguridad privada","Zona privada","Alberca","Lavandería","Terraza","Gimnasio","Cuarto de servicio","Chimenea","Sótano","Aire acondicionado","Elevador","Urbanizado"
28662419,"Camino Real 5200","Álvaro Obregón",1700,"Casa","18,500,000 ","MXN",19.3418937,-99.2245237,618,3,3,1,34,"0","0","0","0","0","1","0","0","0","1","0","0","0","0"
28571136,"Carrateraco","Coyoacán",4030,"Casa","13,000,000 ","MXN",19.3487985,-99.1509554,216,3,2,1,15,"0","0","1","0","0","0","0","0","1","0","0","0","0","0"
28448575,"Cascada","Álvaro Obregón",1900,"Casa","26,500,000 ","MXN",19.326932,-99.2015762,500,1,1,1,1,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
28268469,"Cerrada de Cardos  #4Int. N","Tlalpan",14250,"Casa","4,190,000 ","MXN",19.2763059631485,-99.2059627216232,260,3,2,3,30,"0","1","0","1","0","0","0","0","0","0","1","0","0","0"
28660275,"Cerrada de las Fuentes 100a","Álvaro Obregón",1900,"Casa","22,890,000 ","MXN",19.3205752,-99.2092897,513,4,4,1,26,"0","0","1","0","0","1","0","0","0","0","0","0","0","0"
28715860,"Cerrada Margaritas 40 #40","Álvaro Obregón",1030,"Casa","9,850,000 ","MXN",19.3634128,-99.1783654,240,3,2,2,45,"1","1","0","0","0","0","0","0","0","0","0","0","0","0"
27991731,"CHICAGO","Benito Juárez",3810,"Casa","12,000,000 ","MXN",19.3963819,-99.1758753,360,3,2,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28692388,"Cintalapa","Coyoacán",4918,"Casa","8,600,000 ","MXN",19.3127526,-99.1110724,255,3,3,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28190537,"Cupulas","Xochimilco",16050,"Casa","5,200,000 ","MXN",19.2605225,-99.1184214,223,3,3,3,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
28662761,"Desierto de los Leones 4900","Álvaro Obregón",1700,"Casa","15,500,000 ","MXN",19.3418937,-99.2245237,500,4,5,1,40,"0","0","0","0","0","1","1","0","0","0","0","0","0","0"
28846897,"Doctor Atl 280 #280","Cuauhtémoc",6400,"Casa","9,000,000 ","MXN",19.4530315,-99.1556117,270,3,3,2,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28661659,"Dunas 100 ","Gustavo A. Madero",7270,"Casa","4,650,000 ","MXN",19.5232329,-99.1490745,165,4,3,1,34,"0","0","0","0","0","1","0","0","0","0","0","0","0","0"
28546746," ","Coyoacán",4815,"Casa","4,690,000 ","MXN",19.3156865,-99.1073581,280,4,4,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
28620528,"ENCANTADA","Coyoacán",4010,"Casa","63,000,000 ","MXN",19.3475023,-99.1719095,989,8,5,1,1,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
28831015,"Encino Grande 180 #180","Álvaro Obregón",1700,"Casa","9,600,000 ","MXN",19.3396228,-99.2270986,301,3,5,2,1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0"
28660895,"Fuente Bella 100","Tlalpan",14129,"Casa","12,870,000 ","MXN",19.315237,-99.2165428,453,4,4,1,44,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28661936,"Fuente de la Luz 100","Tlalpan",14140,"Casa","24,900,000 ","MXN",19.3057082,-99.2266013,1150,5,4,1,20,"0","0","0","0","0","0","1","0","0","0","0","0","0","0"
28659940,"Granada 100","Xochimilco",16100,"Casa","4,300,000 ","MXN",19.2553281,-99.1303962,291,4,2,1,25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28778690," ","Gustavo A. Madero",7800,"Casa","5,950,000 ","MXN",19.4700849,-99.1297611,246,4,3,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
