ID,calle_colo,delegacion,cp,tipo,precio,lat,lon,AREA_CONST,RECAMARAS,BANOS,No_de_piso,Edad_inmue,Jardin,Cisterna,Seguridad,Zona priva,Alberca,Lavanderí,Terraza,Gimnasio,Cuarto de,Chimenea,Sótano,Aire acond,Elevador,Urbanizado,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,TIPOMZA,CVE_MZA1,CPV_VIVTOT,CPV_VPH_C_,CPV_VPH_AE,CPV_VPH_DR,CPV_VPH__1,CPV_Prop_e,CPV_Prop_a,CPV_Prop_d,CPV_Prop_s,InputID,Distance,CVEGEO,CVE_ENT_2,CVE_MUN_2,CVE_LOC_2,CVE_AGEB_2,PESO_A,PESO_B,PESO_C,PESO_D,I_A
28660477,Av. San Jerónimo 1300,La Magdalena Contreras,10200,Casa,5900000,19.326137,-99.226107,215,3,2,1,29,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,8,verdadero,"0122",8,Típica,"00800010122008",34,34,34,34,34,100,100,100,100,99999999,12834.22193,"0900800010122","09","008","0001","0122",0.200,0.300,0.000,0.100,0.600
28625397,Ayuntamiento #191,Coyoacán,4310,Casa,11200000,19.34268791,-99.1698657,350,4,3,2,40,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,3,verdadero,"0272",25,Típica,"00300010272025",47,40,40,40,40,85.10638298,85.10638298,85.10638298,85.10638298,99999999,9384.862692,"0900300010272","09","003","0001","0272",0.200,0.300,0.400,0.100,1.000
28712309,_,La Magdalena Contreras,10500,Casa,6000000,19.3123673,-99.2353589,237,3,2,1,30,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,9,8,verdadero,025A,7,Típica,0080001025A007,155,144,144,144,144,92.90322581,92.90322581,92.90322581,92.90322581,99999999,14639.35425,090080001025A,"09","008","0001",025A,0.200,0.300,0.000,0.100,0.600
28666085,Calzada de las Águilas,Álvaro Obregón,1810,Casa,8200000,19.3812406,-99.2245579,297,3,2,2,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1932",25,Típica,"01000011932025",21,21,21,21,21,100,100,100,100,99999999,7945.936468,"0901000011932","09","010","0001","1932",0.200,0.300,0.000,0.000,0.500
28101857,CAM A AHUANTECO,Cuajimalpa de Morelos,5000,Casa,7180000,19.3557507,-99.2993504,300,4,4,2,25,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,4,verdadero,"0091",3,Típica,"00400010091003",184,163,163,163,163,88.58695652,88.58695652,88.58695652,88.58695652,99999999,16039.84805,"0900400010091","09","004","0001","0091",0.200,0.300,0.000,0.000,0.500
28662419,Camino Real 5200,Álvaro Obregón,1700,Casa,18500000,19.3418937,-99.2245237,618,3,3,1,34,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1171",55,Típica,"01000011171055",580,526,525,525,525,90.68965517,90.51724138,90.51724138,90.51724138,99999999,11251.54312,"0901000011171","09","010","0001","1171",0.200,0.300,0.000,0.100,0.600
28660275,Cerrada de las Fuentes 100a,Álvaro Obregón,1900,Casa,22890000,19.3205752,-99.2092897,513,4,4,1,26,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1260",9,Típica,"01000011260009",66,58,55,58,58,87.87878788,83.33333333,87.87878788,87.87878788,99999999,12647.0057,"0901000011260","09","010","0001","1260",0.200,0.300,0.000,0.100,0.600
28715860,Cerrada Margaritas 40 #40,Álvaro Obregón,1030,Casa,9850000,19.3634128,-99.1783654,240,3,2,2,45,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1006",20,Típica,"01000011006020",91,66,66,66,66,72.52747253,72.52747253,72.52747253,72.52747253,99999999,7190.91401,"0901000011006","09","010","0001","1006",0.200,0.300,0.400,0.100,1.000
28662761,Desierto de los Leones 4900,Álvaro Obregón,1700,Casa,15500000,19.3418937,-99.2245237,500,4,5,1,40,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,10,verdadero,"1171",55,Típica,"01000011171055",580,526,525,525,525,90.68965517,90.51724138,90.51724138,90.51724138,99999999,11251.54312,"0901000011171","09","010","0001","1171",0.200,0.300,0.000,0.100,0.600
28846897,Doctor Atl 280 #280,Cuauhtémoc,6400,Casa,9000000,19.4530315,-99.1556117,270,3,3,2,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,9,15,verdadero,"0470",2,Típica,"01500010470002",231,187,187,187,187,80.95238095,80.95238095,80.95238095,80.95238095,99999999,3063.103454,"0901500010470","09","015","0001","0470",0.200,0.300,0.400,0.100,1.000
