"ID","precio","Precio_log","AREA_CONST","RECAMARAS","BANOS","Edad_inmue","Jardin","Cisterna","Seguridad","Alberca","Lavanderí","Terraza","Gimnasio","Cuarto.de","Chimenea","Aire.acond","Elevador","CPV_Prop_s","Distance","I_A","tipo_vivienda","residuos","lat","lon"
"28662122",10500000,16.1668858151278,286,3,3,38,"0","0","0","0","1","0","0","0","1","0","1",0.9169520548,10144.62561,"0.5","1",0.351474684286439,19.3904162,-99.2550003
"28662125",9300000,16.0455249581235,140,2,2,44,"0","0","0","0","0","0","0","0","0","0","1",0.7345132743,2072.84549,"1","1",0.170365114689602,19.4093682,-99.1719095
"28686943",1688800,14.3395287755162,39,1,1,1,"0","0","0","0","0","0","0","0","0","0","0",0.9724770642,3508.768375,"1","1",-0.262932786126131,19.4099497,-99.1387533
"28715860",9850000,16.1029820131483,240,3,2,45,"1","1","0","0","0","0","0","0","0","0","0",0.7252747253,7190.91401,"1","2",0.355734971160118,19.3634128,-99.1783654
"28722578",1700000,14.3461388090264,60,2,1,25,"0","0","0","0","0","0","0","0","0","0","0",0.9652173913,1779.750671,"1","1",-0.619957962522351,19.416925,-99.15379
"28722938",22500000,16.9290258671746,750,7,4,1,"0","0","0","0","0","0","0","0","0","0","0",0.8048780488,8428.754588,"1","2",-0.261815058688857,19.353556,-99.18615
"28725226",3256000,14.9960100061046,67,2,1,1,"0","0","0","0","0","0","0","0","0","0","0",0.5,5410.968524,"1","1",0.403877647271838,19.386238,-99.13887
"28762803",4959666,15.4168489577241,69,2,2,1,"0","0","0","0","0","0","0","0","0","0","0",0.734375,7204.33786,"1","1",0.0243371200242208,19.3638887,-99.1517173
"28762826",6410000,15.6733698288969,86,2,2,1,"0","0","0","0","0","0","0","0","0","0","0",0.848,6035.725162,"1","1",0.133418139109045,19.3729233,-99.1645558
"28769251",1795000,14.4005155799045,75,3,1,35,"0","0","0","0","0","0","0","0","0","0","0",0.95,15619.17099,"0.9","1",-0.406016663107803,19.2943641732191,-99.1171352921081
"28769251",1795000,14.4005155799045,75,3,1,35,"0","0","0","0","0","0","0","0","0","0","0",0.8979591837,15619.17099,"0.9","1",-0.396747355470186,19.2943641732191,-99.1171352921081
"28772737",9500000,16.0668023565708,165,3,4,1,"0","1","1","0","0","0","0","0","0","0","0",0.868338558,5663.643806,"1","3",0.257180144863364,19.3768213,-99.1746778
"28774805",6900000,15.7470319695675,140,2,2,10,"0","1","0","0","0","0","0","0","0","0","1",0.5411764706,978.9657217,"1","1",-0.224543250399069,19.4217838,-99.1738244
"28781854",6900000,15.7470319695675,195,3,2,49,"0","0","1","0","0","0","0","1","0","0","1",0.6528301887,7328.970374,"1","1",-0.0702811193838038,19.3613549166647,-99.1713303130753
"28794375",3300000,15.0094330264367,120,2,2,1,"0","0","1","0","0","0","0","0","0","0","0",0.8703703704,5150.08006,"1","1",-0.579824716765758,19.461417,-99.1331631
"28797116",7500000,15.8304135785065,106,2,2,5,"0","0","1","0","0","1","0","0","0","0","1",1,5862.776236,"1","1",0.137152673505472,19.3745957545,-99.1707730293
"28822249",11050000,16.217940985928,305,4,3,23,"1","1","0","1","0","0","1","0","0","0","1",0.9517045455,11722.47528,"0.5","1",-0.0015885045166506,19.3795639,-99.2661971
"28831015",9600000,16.0772736564381,301,3,5,1,"0","0","0","0","0","0","0","1","0","0","0",0.954593453,11609.62154,"0.6","2",0.0177043562087427,19.3396228,-99.2270986
"28832029",8976790,16.0101529153495,172,2,2,1,"0","1","0","0","0","0","1","0","0","0","1",0.9534883721,1853.071801,"1","1",0.0319314721647341,19.4109398546723,-99.1634931375733
